,category,waterbody,species,IUCN,Area,counts,freqsum,wts,Rare,PIs
1,Small Lakes,Kabaka's Lake,Lates niloticus,LC,0.1,1,5,1,3,3
2,Small Lakes,Lake Agu,Astatoreochromis alluaudi,LC,4,1,22,1,1,1
3,Small Lakes,Lake Agu,Clarias gariepinus,LC,4,1,24,1,1,1
4,Small Lakes,Lake Agu,Coptodon zillii,LC,4,1,16,1,1,1
5,Small Lakes,Lake Agu,Enteromius trispilopleura,LC,4,1,3,1,4,4
6,Small Lakes,Lake Agu,Gnathonemus longibarbis,LC,4,1,6,1,2,2
7,Small Lakes,Lake Agu,Haplochromis argenteus,CE,4,1,11,5,1,5
8,Small Lakes,Lake Agu,Haplochromis cryptodon,DD,4,1,6,3,2,6
9,Small Lakes,Lake Agu,Haplochromis lividus,DD,4,1,12,3,1,3
10,Small Lakes,Lake Agu,Haplochromis martini,CE,4,1,4,5,3,15
11,Small Lakes,Lake Agu,Haplochromis obesus,CE,4,1,9,5,2,10
12,Small Lakes,Lake Agu,Haplochromis orthostoma,VU,4,1,9,3,2,6
13,Small Lakes,Lake Agu,Haplochromis parvidens,CE,4,1,10,5,2,10
14,Small Lakes,Lake Agu,Haplochromis pellegrini,DD,4,1,8,3,2,6
15,Small Lakes,Lake Agu,Haplochromis phytophagus,DD,4,1,9,3,2,6
16,Small Lakes,Lake Agu,Hippopotamyrus grahami,LC,4,1,5,1,3,3
17,Small Lakes,Lake Agu,Marcusenius victoriae,LC,4,1,12,1,1,1
18,Small Lakes,Lake Agu,Mormyrus macrocephalus,LC,4,1,6,1,2,2
19,Small Lakes,Lake Agu,Oreochromis leucostictus,LC,4,1,19,1,1,1
20,Small Lakes,Lake Agu,Oreochromis niloticus,LC,4,1,22,1,1,1
21,Small Lakes,Lake Agu,Oreochromis variabilis,CE,4,1,10,5,2,10
22,Small Lakes,Lake Agu,Petrocephalus catostoma,LC,4,1,9,1,2,2
23,Small Lakes,Lake Agu,Protopterus aethiopicus,LC,4,1,20,1,1,1
24,Small Lakes,Lake Agu,Synodontis afrofischeri,LC,4,1,12,1,1,1
25,Small Lakes,Lake Agu,Synodontis victoriae,LC,4,1,9,1,2,2
26,Small Lakes,Lake Agu,NA,,4,1,25,NA,1,NA
27,Small Lakes,Lake Bisina,Astatoreochromis alluaudi,LC,349.31,1,22,1,1,1
28,Small Lakes,Lake Bisina,Astatotilapia desfontainii,EN,349.31,1,1,4,5,20
29,Small Lakes,Lake Bisina,Bagrus docmak,LC,349.31,1,3,1,4,4
30,Small Lakes,Lake Bisina,Brycinus sadleri,LC,349.31,1,10,1,2,2
31,Small Lakes,Lake Bisina,Clarias alluaudi,LC,349.31,1,7,1,2,2
