lake,species,iucn,hab,area
Victoria,Haplochromis avium,NE,rocky,5.5
Victoria,Haplochromis mbipi,LC,muddy,134
Victoria,Haplochromis guiarti,CR,muddy,134
Victoria,Haplochromis nubilus,VU,rocky,5.5
Victoria,Haplochromis brownae,CR,papyrus,1.4
Victoria,Haplochromis brownae,CR,rocky,5.5
Victoria,Haplochromis brownae,CR,papyrus,1.4
Victoria,Haplochromis guiarti,CR,papyrus,1.4
Victoria,Haplochromis brownae,CR,papyrus,1.4
Victoria,Haplochromis mbipi,LC,papyrus,1.4
Victoria,Haplochromis victoriae,DD,papyrus,1.4
Victoria,Haplochromis riponianus,LC,papyrus,1.4
Victoria,Haplochromis barbarae,CR,papyrus,1.4
Victoria,Haplochromis riponianus,LC,papyrus,1.4
Victoria,Haplochromis guiarti,CR,papyrus,1.4
Victoria,Haplochromis brownae,CR,papyrus,1.4
Victoria,Haplochromis guiarti,CR,papyrus,1.4
Victoria,Haplochromis brownae,CR,rocky,5.5
Victoria,Haplochromis brownae,CR,rocky,5.5
Victoria,Haplochromis brownae,CR,rocky,5.5
Victoria,Haplochromis brownae,CR,inshore,43
Victoria,Haplochromis guiarti,CR,inshore,43
Victoria,Haplochromis mbipi,LC,inshore,43
Victoria,Haplochromis brownae,CR,inshore,43
Victoria,Haplochromis brownae,CR,inshore,43
Victoria,Haplochromis guiarti,CR,inshore,43
Victoria,Haplochromis brownae,CR,inshore,43
Victoria,Haplochromis brownae,CR,inshore,43
Victoria,Haplochromis guiarti,CR,inshore,43
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis guiarti,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis brownae,CR,offshore,18
Victoria,Haplochromis nubilus,VU,offshore,18
Victoria,Haplochromis xenognathus,VU,offshore,18
Victoria,Haplochromis barbarae,CR,offshore,18
Victoria,Haplochromis riponianus,LC,offshore,18
Victoria,Haplochromis xenognathus,VU,offshore,18
Victoria,Haplochromis nubilus,VU,sheltered,123
Victoria,Haplochromis riponianus,LC,sheltered,123
Victoria,Haplochromis guiarti,CR,sheltered,123
Victoria,Haplochromis guiarti,CR,sheltered,123
Victoria,Haplochromis mbipi,LC,sheltered,123
Victoria,Haplochromis mbipi,LC,sheltered,123
Victoria,Haplochromis riponianus,LC,sheltered,123
Victoria,Haplochromis riponianus,LC,sheltered,123
Victoria,Haplochromis guiarti,CR,sheltered,123
Victoria,Haplochromis riponianus,LC,sheltered,123
Victoria,Haplochromis nigricans,DD,sheltered,123
Victoria,Haplochromis mbipi,LC,sheltered,123
Victoria,Haplochromis barbarae,CR,sheltered,123
Victoria,Haplochromis brownae,CR,sheltered,123
Victoria,Haplochromis brownae,CR,sheltered,123
Victoria,Haplochromis brownae,CR,sheltered,123
Victoria,Haplochromis nubilus,VU,sheltered,123
Victoria,Haplochromis mbipi,LC,sheltered,123
